,순번,구분,타입,계약면적(㎡),전용면적(㎡),대지면적(㎡),매매가,보증금 (단위: 만원),월세(단위:만원),주소,기타(세부주소)
343,344,명지동,월세,296,176,-,-,3000,130,부산시 강서구 명지동 대형사무실 플러스존2,대형사무실 플러스존25층
344,345,명지동,월세,294,51,-,-,2000,170,부산시 강서구 명지동 일반상가,일반상가1층
345,346,명지동,월세,1117.6,61.38,-,-,2000,100,부산시 강서구 명지동 복합상가,복합상가3층
346,347,명지동,월세,178,107,-,-,2000,100,부산시 강서구 명지동 일반상가 에코팰리스,일반상가 에코팰리스8층
347,348,명지동,월세,261.1,153.7,-,-,2000,180,부산시 강서구 명지동 일반상가 포르스빌,일반상가 포르스빌1층
348,349,명지동,월세,191.7,69.4,-,-,2000,90,부산시 강서구 명지동 일반상가 장윤빌,일반상가 장윤빌1층
349,350,명지동,월세,317.24,188.57,-,-,2000,130,부산시 강서구 명지동 일반상가,일반상가5층
350,351,명지동,월세,234.03,234.03,-,-,10000,350,부산시 강서구 명지동 일반상가,일반상가5층
351,352,명지동,월세,235.12,140.25,-,-,2000,120,부산시 강서구 명지동 일반상가,일반상가2층
352,353,명지동,월세,1001.4,578.77,-,-,10000,450,부산시 강서구 명지동 복합상가,복합상가3층
353,354,명지동,월세,235.12,140.25,-,-,2000,120,부산시 강서구 명지동 일반상가,일반상가2층
354,355,명지동,월세,224,140.25,-,-,2000,140,부산시 강서구 명지동 일반상가,일반상가2층
355,356,명지동,월세,871,500,-,-,6000,400,부산시 강서구 명지동 일반상가,일반상가6층
356,357,명지동,월세,297,180,-,-,2000,130,부산시 강서구 명지동 일반상가 제이티프라자,일반상가 제이티프라자4층
357,358,명지동,월세,197,111.54,-,-,2000,80,부산시 강서구 명지동 일반상가,일반상가3층
358,359,명지동,월세,205.16,121.95,-,-,1000,100,부산시 강서구 명지동 일반상가,일반상가2층
359,360,명지동,월세,186.23,110.7,-,-,1000,60,부산시 강서구 명지동 일반상가,일반상가2층
360,361,명지동,월세,768955,46.19,-,-,2000,210,부산시 강서구 명지동 복합상가,복합상가1층
361,362,명지동,월세,180,180,-,-,2000,140,부산시 강서구 명지동 일반상가,일반상가4층
362,363,명지동,월세,287.6,167.96,-,-,2000,150,부산시 강서구 명지동 일반상가,일반상가2층
363,364,명지동,월세,280,163.3,-,-,2000,80,부산시 강서구 명지동 일반상가 플러스타워,일반상가 플러스타워6층
364,365,명지동,월세,214.83,119.7,-,-,2000,70,부산시 강서구 명지동 일반상가,일반상가6층
365,366,명지동,월세,228,147.8,-,-,2000,180,부산시 강서구 명지동 일반상가,일반상가1층
366,367,명지동,월세,261.1,152,-,-,2000,180,부산시 강서구 명지동 일반상가,일반상가1층
367,368,명지동,월세,178.21,107.5,-,-,2000,160,부산시 강서구 명지동 일반상가 에코팰리스,일반상가 에코팰리스2층
368,369,명지동,월세,182.69,110.25,-,-,2000,120,부산시 강서구 명지동 일반상가,일반상가2층
369,370,명지동,월세,288.6,46,-,-,2000,120,부산시 강서구 명지동 일반상가,일반상가1층
370,371,명지동,월세,1149.54,1149.54,-,-,20000,1200,부산시 강서구 명지동 일반상가,일반상가7층
371,372,명지동,월세,327.2,224.7,-,-,3000,200,부산시 강서구 명지동 일반상가,일반상가2층
