선사코드,선사명,접안시간,출항시간,체류시간,체류시간_day,체류시간_time,체류시간_totalTime(시간),상태
OOL,OOCL HALIFAX,2015-04-28 14:00,2015-04-29 4:00,0 days 14:00:00,0,14,14,DEPARTED
OOL,HERMES NPS,2015-04-29 1:10,2015-04-29 10:00,0 days 08:50:00,0,8,8,DEPARTED
HLC,VIENNA EXPRESS,2015-04-29 6:10,2015-04-30 4:00,0 days 21:50:00,0,21,21,DEPARTED
HLC,SINGAPORE EXPRESS,2015-04-29 15:10,2015-04-30 8:00,0 days 16:50:00,0,16,16,DEPARTED
BLA,HANJIN MUNDRA,2015-04-29 17:00,2015-05-01 6:00,1 days 13:00:00,1,13,37,DEPARTED
APL,APL SINGAPORE,2015-04-30 9:00,2015-04-30 22:00,0 days 13:00:00,0,13,13,DEPARTED
APL,COLOMBO SKX,2015-04-30 10:00,2015-04-30 22:00,0 days 12:00:00,0,12,12,DEPARTED
HAS,NOVA JST1,2015-04-30 11:10,2015-04-30 13:00,0 days 01:50:00,0,1,1,DEPARTED
APL,ASIA IPSA,2015-04-30 15:10,2015-05-01 7:00,0 days 15:50:00,0,15,15,DEPARTED
SKR,SINOKOR INCHEON,2015-04-30 23:00,2015-05-01 3:00,0 days 04:00:00,0,4,4,DEPARTED
SKR,HAN SE,2015-05-01 0:01,2015-05-01 5:00,0 days 04:59:00,0,4,4,DEPARTED
DJS,DONGJIN TOKUYAMA,2015-05-01 7:00,2015-05-01 11:00,0 days 04:00:00,0,4,4,DEPARTED
BLA,KATRIN S,2015-05-01 10:00,2015-05-01 21:00,0 days 11:00:00,0,11,11,DEPARTED
MAE,GRACE BRIDGE,2015-05-01 16:00,2015-05-02 0:00,0 days 08:00:00,0,8,8,DEPARTED
MAE,CHARLOTTE MAERSK,2015-05-01 23:00,2015-05-02 15:00,0 days 16:00:00,0,16,16,DEPARTED
CKL,SKY DUKE,2015-05-02 0:00,2015-05-02 12:00,0 days 12:00:00,0,12,12,DEPARTED
OOL,OOCL ATLANTA,2015-05-02 14:00,2015-05-03 2:00,0 days 12:00:00,0,12,12,DEPARTED
APL,APL HOLLAND,2015-05-02 21:00,2015-05-03 8:00,0 days 11:00:00,0,11,11,DEPARTED
HMM,MOL ,2015-05-03 6:00,2015-05-03 20:00,0 days 14:00:00,0,14,14,DEPARTED
MAE,SOROE MAERSK,2015-05-03 8:10,2015-05-03 20:00,0 days 11:50:00,0,11,11,DEPARTED
APL,COLOMBO SKX,2015-05-03 10:15,2015-05-03 19:00,0 days 08:45:00,0,8,8,DEPARTED
SKR,SINOKOR NIIGATA,2015-05-03 21:20,2015-05-04 1:00,0 days 03:40:00,0,3,3,DEPARTED
NYK,WEHR SINGAPORE,2015-05-03 22:00,2015-05-04 14:00,0 days 16:00:00,0,16,16,DEPARTED
KKL,SAN DIEGO,2015-05-04 4:50,2015-05-05 0:00,0 days 19:10:00,0,19,19,DEPARTED
APL,APL CHARLESTON,2015-05-04 6:10,2015-05-05 1:00,0 days 18:50:00,0,18,18,DEPARTED
MAE,JPO SCORPIUS,2015-05-04 16:00,2015-05-04 23:00,0 days 07:00:00,0,7,7,DEPARTED
SKR,HAN PO,2015-05-04 16:00,2015-05-04 19:00,0 days 03:00:00,0,3,3,DEPARTED
OOL,OOCL SEOUL,2015-05-05 1:00,2015-05-05 15:00,0 days 14:00:00,0,14,14,DEPARTED
HMM,HYUNDAI GOODWILL,2015-05-05 3:00,2015-05-05 14:00,0 days 11:00:00,0,11,11,DEPARTED
MAE,MERETE MAERSK,2015-05-05 8:25,2015-05-06 4:00,0 days 19:35:00,0,19,19,DEPARTED
CMA,CMA CGM,2015-05-05 16:10,2015-05-06 2:00,0 days 09:50:00,0,9,9,DEPARTED
OOL,ALLISE P,2015-05-06 2:10,2015-05-06 16:00,0 days 13:50:00,0,13,13,DEPARTED
BLA,HANJIN MUNDRA,2015-05-06 6:00,2015-05-07 2:00,0 days 20:00:00,0,20,20,DEPARTED
SKR,SINOKOR ULSAN,2015-05-06 9:00,2015-05-06 12:00,0 days 03:00:00,0,3,3,DEPARTED
APL,COLOMBO SKX,2015-05-07 8:00,2015-05-07 17:00,0 days 09:00:00,0,9,9,DEPARTED
SKR,SINOKOR INCHEON,2015-05-07 9:00,2015-05-07 12:00,0 days 03:00:00,0,3,3,DEPARTED
APL,CAPE FULMAR,2015-05-07 9:00,2015-05-07 21:00,0 days 12:00:00,0,12,12,DEPARTED
SKR,HAN SE,2015-05-07 14:00,2015-05-07 18:00,0 days 04:00:00,0,4,4,DEPARTED
APL,APL KOREA,2015-05-07 19:00,2015-05-08 6:00,0 days 11:00:00,0,11,11,DEPARTED
COH,MARE FRIO,2015-05-08 0:00,2015-05-08 9:00,0 days 09:00:00,0,9,9,DEPARTED
OOL,MALIAKOS NPS,2015-05-08 2:25,2015-05-08 12:00,0 days 09:35:00,0,9,9,DEPARTED
DJS,DONGJIN TOKUYAMA,2015-05-08 4:00,2015-05-08 10:00,0 days 06:00:00,0,6,6,DEPARTED
BLA,KATRIN S,2015-05-08 9:00,2015-05-08 19:00,0 days 10:00:00,0,10,10,DEPARTED
OOL,KAETHE P,2015-05-08 22:10,2015-05-09 6:00,0 days 07:50:00,0,7,7,DEPARTED
APL,APL THAILAND,2015-05-09 0:01,2015-05-09 17:00,0 days 16:59:00,0,16,16,DEPARTED
MAE,MAERSK SALALAH,2015-05-09 1:10,2015-05-10 0:00,0 days 22:50:00,0,22,22,DEPARTED
SKR,SINOKOR ULSAN,2015-05-09 13:00,2015-05-09 18:00,0 days 05:00:00,0,5,5,DEPARTED
HMM,HYUNDAI TACOMA,2015-05-09 19:00,2015-05-10 15:00,0 days 20:00:00,0,20,20,DEPARTED
APL,COLOMBO SKX,2015-05-09 21:00,2015-05-10 5:00,0 days 08:00:00,0,8,8,DEPARTED
SKR,HAN PO,2015-05-09 23:30,2015-05-10 3:30,0 days 04:00:00,0,4,4,DEPARTED
MAE,SEA-LAND LIGHTNING,2015-05-10 2:00,2015-05-10 12:00,0 days 10:00:00,0,10,10,DEPARTED
MAE,HANSA MAGDEBURG,2015-05-10 4:00,2015-05-10 8:00,0 days 04:00:00,0,4,4,DEPARTED
ZIM,ZIM ANTWERP,2015-05-10 10:10,2015-05-10 22:00,0 days 11:50:00,0,11,11,DEPARTED
